,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
0,22.7590975091,38630760.662,38.630760662,0.846159309434,0.559198298264,0.862519137588,0.153840690566,141448.054075,1.12557617121,1.01130851431,8822814.31605,99021.0073923,12052651.4898,0.878369309746,0.393765645085,0.538224747987,0.146451932936,0.313183334437,0.472560137549,worst_case_rcp45_2016-2045 (dry)
1,49.5812818021,25220498.4939,25.2204984939,0.949157747389,0.53175830344,0.523120170969,0.0508422526108,42389.1462955,0.662683693864,1.42393418561,2340158.53064,99021.0073923,1721665.75876,0.903760645005,0.5,0.666666666667,0.66886092162,0.413832487506,0.547264944185,worst_case_rcp45_2016-2045 (dry)
2,16.3016502969,43258658.0745,43.2586580745,0.760509823653,0.55068002946,1017.04359899,0.239490176347,221136.394612,0.78958976689,0.91291420248,6360491.82908,99021.0073923,16436591.0877,0.879451082317,0.366289493268,0.505412353697,0.0766593875426,0.295979618546,0.496718966877,worst_case_rcp45_2016-2045 (dry)
3,22.8690830236,38472979.4997,38.4729794997,0.877009104997,0.552920417184,0.593914274526,0.122990895003,140192.836839,0.982023256376,0.984976566122,6696350.38495,99021.0073923,7864434.92869,0.900268792744,0.5,0.666666666667,0.573592597673,0.350554660938,0.527955840731,worst_case_rcp45_2016-2045 (dry)
4,13.8110750414,48453568.4396,48.4535684396,0.661693045173,0.577828607323,2.43359502442,0.338306954827,292359.382443,1.34703378449,0.714132687998,19535155.2709,99021.0073923,35403683.8121,0.848230019438,0.380217847236,0.528245720858,0.145327497198,0.308411140329,0.384207160272,worst_case_rcp45_2016-2045 (dry)
5,16.6595346428,28068824.5309,28.0688245309,0.83845975192,0.523042570167,1.06826906914,0.16154024808,140404.204623,1.10652132985,1.38020819027,9406400.78329,99021.0073923,12142771.7996,0.885120709471,0.430569650227,0.592010012854,0.313717394436,0.32273841089,0.506548102737,worst_case_rcp45_2016-2045 (dry)
6,13.6703878431,33341474.2987,33.3414742987,0.762316356256,0.559696456573,1016.78710465,0.237683643744,203246.332397,0.80185065005,1.06487222198,7660251.56934,99021.0073923,15316194.0766,0.861308302995,0.384995940735,0.531425478655,0.120554197403,0.302621194618,0.476655437557,worst_case_rcp45_2016-2045 (dry)
7,16.3890674501,41850503.1369,41.8505031369,0.769506409061,0.553391545902,670.441435498,0.230493590939,212796.850015,0.791624968099,0.982709908026,7487782.92706,99021.0073923,14509467.6162,0.875935784053,0.3848860023,0.526419051485,0.0627341079543,0.304804973676,0.495556148996,worst_case_rcp45_2016-2045 (dry)
8,17.057024406,41328943.4242,41.3289434242,0.757257727504,0.550309198263,1017.05856601,0.242742272496,201915.559051,0.752442893428,0.996679924699,6875343.11447,99021.0073923,15144236.4285,0.87817775668,0.349282863135,0.477132805629,0.0330600765825,0.29146588132,0.493550020593,worst_case_rcp45_2016-2045 (dry)
9,12.693477563,51268831.427,51.268831427,0.655885549819,0.581486925703,1017.72365025,0.344114450181,336582.516314,1.4204714944,0.598541572311,20181471.2008,99021.0073923,38747043.7633,0.854717561261,0.363033624247,0.500033827211,0.0863101644028,0.299577608265,0.391990011839,worst_case_rcp45_2016-2045 (dry)
10,16.4940297952,42323269.185,42.323269185,0.804392445672,0.561616855064,0.741006225761,0.195607554328,213831.255463,1.16042804032,0.753525495946,11047607.8331,99021.0073923,16317294.4349,0.872707140164,0.5,0.666666666667,0.636062461007,0.362632295896,0.478092175449,worst_case_rcp45_2016-2045 (dry)
11,12.2550276642,33005556.7188,33.0055567188,0.764085854915,0.545858768892,1.09456536504,0.235914145085,224435.483563,0.993564366636,1.07104448407,9261505.66616,99021.0073923,18996405.3162,0.865088932061,0.481006021243,0.666328394561,0.496759152983,0.32903783371,0.476616051132,worst_case_rcp45_2016-2045 (dry)
12,16.9523813867,41121171.6871,41.1211716871,0.763695626376,0.550872231413,877.718973993,0.236304373624,202140.585979,0.770992994283,1.00061920209,7014788.66285,99021.0073923,14949252.8285,0.879456173816,0.393266693728,0.539611663622,0.0709544924544,0.304816413789,0.494052664129,worst_case_rcp45_2016-2045 (dry)
13,15.2388034208,38176442.9379,38.1764429379,0.781977226243,0.545650919268,884.139106663,0.218022773757,208767.719944,1.02673036952,1.0438199272,8875323.75307,99021.0073923,18111286.2292,0.887067461282,0.359346458291,0.493369866721,0.119589587941,0.293992743786,0.494752988995,worst_case_rcp45_2016-2045 (dry)
14,15.4866629254,47725162.2216,47.7251622216,0.67966752422,0.57450685419,2.80048701247,0.32033247578,256807.865643,1.37169020209,0.720033197775,17732439.4792,99021.0073923,35239645.9342,0.835175515724,0.394078546783,0.543569447263,0.0986290401289,0.305836537072,0.362665399886,worst_case_rcp45_2016-2045 (dry)
15,13.9635681971,47087801.8913,47.0878018913,0.692828074883,0.566769571213,1.47132297123,0.307171925117,281015.814551,1.45485271561,0.736987388512,21634724.1845,99021.0073923,32240688.8158,0.858462769427,0.470198227454,0.650328123943,0.426206094213,0.341620361833,0.4288191387,worst_case_rcp45_2016-2045 (dry)
16,,19843187.3,19.8431873,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79090093159,0.0,99021.0073923,0.0,0.931095915851,0.5,0.666666666667,0.813075969636,0.47153051257,0.637932236441,worst_case_rcp45_2016-2045 (dry)
17,14.4574359263,49551375.8927,49.5513758927,0.630736829696,0.58424734508,2.88832264259,0.369263170304,285616.436098,1.12791291122,0.722949211941,16344291.4454,99021.0073923,33867027.0789,0.855097827306,0.391093295447,0.543806237738,0.149110858762,0.303432319574,0.411950986251,worst_case_rcp45_2016-2045 (dry)
18,25.2128374297,37132195.7614,37.1321957614,0.898741352292,0.534013156627,0.372562788584,0.101258647708,122729.131753,0.620257003877,1.03553098924,2714020.20845,99021.0073923,4857687.90923,0.903252928375,0.489995602463,0.666666666667,0.488408725309,0.355436465011,0.526644220949,worst_case_rcp45_2016-2045 (dry)
19,13.5632704719,33299137.75,33.29913775,0.775963004784,0.552586424148,1.04217503306,0.224036995216,204591.374298,0.974642740945,1.06870237166,10983853.9737,99021.0073923,15340350.5076,0.862795505741,0.434493606657,0.597523848183,0.353880531951,0.327501914753,0.47146212851,worst_case_rcp45_2016-2045 (dry)
20,13.47955212,39153321.993,39.153321993,0.71057405481,0.581260581154,1018.00193815,0.28942594519,242053.801469,1.1298403807,0.844734826992,14885059.3168,99021.0073923,24537481.9563,0.840475343142,0.374382653406,0.520702252892,0.106867373371,0.30273949872,0.392634126126,worst_case_rcp45_2016-2045 (dry)
21,21.5829168122,32237215.5989,32.2372155989,0.900730454321,0.530078067725,0.510910698432,0.0992695456794,124470.41596,0.861995407079,1.11828094903,3263318.0978,99021.0073923,7052675.16669,0.902964240772,0.426231310466,0.598538664502,0.376582833358,0.318898350142,0.539020158678,worst_case_rcp45_2016-2045 (dry)
22,17.5428770676,37347837.538,37.347837538,0.847574261884,0.543220592605,0.607625064729,0.152425738116,177412.164655,1.28885604132,0.901972829133,10474097.0278,99021.0073923,13209779.1653,0.885084281015,0.5,0.666666666667,0.64864363031,0.36542262862,0.491890523883,worst_case_rcp45_2016-2045 (dry)
23,20.7829056888,30485344.5169,30.4853445169,0.854465399642,0.55265238889,0.816724184281,0.145534600358,122237.25664,0.942861806012,1.0595810846,6125528.73756,99021.0073923,10417093.975,0.871347186429,0.5,0.666666666667,0.641709716157,0.35224362692,0.480195868759,worst_case_rcp45_2016-2045 (dry)
24,15.662583973,44396155.1114,44.3961551114,0.75601496013,0.550708267754,1016.84982073,0.24398503987,236211.317303,0.91136049742,0.906740866651,10333042.3293,99021.0073923,16473664.3446,0.879734198857,0.383253839388,0.525065963061,0.058549873325,0.306434211186,0.495326169037,worst_case_rcp45_2016-2045 (dry)
25,15.9651652257,38332778.7223,38.3327787223,0.780515934223,0.54415322066,1016.87924939,0.219484065777,200085.510027,0.901873878938,1.03396785455,7658341.6709,99021.0073923,16205418.1291,0.87809811174,0.35931263108,0.491171098031,-0.0687008933261,0.296638428258,0.491622993252,worst_case_rcp45_2016-2045 (dry)
26,12.8622552746,54086301.1092,54.0863011092,0.651597938086,0.588858958257,849.341340807,0.348402061914,350420.020664,1.34329012598,0.574604851802,20574723.1681,99021.0073923,35846253.91,0.834608024628,0.368606657195,0.505277044855,0.0482600565074,0.298568481838,0.374795831335,worst_case_rcp45_2016-2045 (dry)
27,17.4316661668,41433382.2298,41.4333822298,0.747378802517,0.548041625177,1017.27931817,0.252621197483,198075.262539,0.675742331422,1.00930002467,5634716.64619,99021.0073923,14945075.2647,0.879315039333,0.369190176578,0.509776063866,0.104842106545,0.297133638298,0.495268206221,worst_case_rcp45_2016-2045 (dry)
28,18.6960929237,25035156.2987,25.0351562987,0.870052614814,0.515461706562,0.755201629649,0.129947385186,111588.18227,0.432875152972,1.56343884165,1325647.39993,99021.0073923,5455766.73032,0.893940332959,0.473031256343,0.653744672214,0.425900521942,0.327588801174,0.486962157291,worst_case_rcp45_2016-2045 (dry)
29,11.2579199633,45002589.2325,45.0025892325,0.704892946997,0.555041665628,1.92834104401,0.295107053003,333117.99885,1.76785960559,0.707640554155,22785220.6141,99021.0073923,40109968.2527,0.849919506958,0.379186117313,0.526013124958,0.160548409211,0.306659771933,0.398476089535,worst_case_rcp45_2016-2045 (dry)
30,13.5267376416,37304805.2204,37.3048052204,0.789213474599,0.534779783098,1016.72457957,0.210786525401,229821.398975,1.09490892881,1.00148756655,9351696.94684,99021.0073923,18471748.3375,0.873907898793,0.348893850213,0.477301941682,0.0510755107495,0.294967077997,0.495534475976,worst_case_rcp45_2016-2045 (dry)
31,16.1082022356,41820430.1448,41.8204301448,0.80606102656,0.558452794334,0.702625592842,0.19393897344,216351.632195,1.22774921357,0.812496800088,11575452.5851,99021.0073923,17130027.9154,0.874080767333,0.478249103579,0.665956295244,0.448245099613,0.337962939185,0.470163717394,worst_case_rcp45_2016-2045 (dry)
32,15.3193067097,37238911.3411,37.2389113411,0.793056191187,0.545748761802,1.07938624041,0.206943808813,202570.695304,0.978803730902,1.04267950134,8573220.82203,99021.0073923,15846355.1206,0.880528389402,0.469022731886,0.650395778364,0.426052300458,0.331092348908,0.500007452759,worst_case_rcp45_2016-2045 (dry)
33,13.0911011402,32788057.2299,32.7880572299,0.760372940404,0.55454841865,1.14207030804,0.239627059596,208717.209746,0.871633622123,1.08753686337,9242057.29079,99021.0073923,15938184.5387,0.861602280862,0.5,0.666666666667,0.569089022817,0.359808243666,0.469391325094,worst_case_rcp45_2016-2045 (dry)
34,18.1165982901,42900809.9749,42.9008099749,0.755312841876,0.577071517398,1.32244811424,0.244687158124,197336.577246,0.984266418919,0.79472582895,9348960.9109,99021.0073923,19685509.5012,0.873874900739,0.474029159056,0.663554563291,0.450625618244,0.320864565666,0.478199555009,worst_case_rcp45_2016-2045 (dry)
35,18.8740380497,33712985.0355,33.7129850355,0.869534907186,0.526106316221,0.989221314252,0.130465092814,148850.787109,1.36921468896,1.08560110856,7498661.42053,99021.0073923,14036887.2526,0.879731865124,0.438485217509,0.605236452202,0.356951897055,0.320969510777,0.499898980986,worst_case_rcp45_2016-2045 (dry)
36,12.0345885087,46664044.1226,46.6640441226,0.688597847212,0.567660257692,1.43679262816,0.311402152788,323124.495759,1.627245315,0.669051500308,22783953.3635,99021.0073923,38305284.1168,0.855670499283,0.439001082471,0.603951018199,0.377118873553,0.332241394547,0.427909935473,worst_case_rcp45_2016-2045 (dry)
37,16.2984944275,45267658.0287,45.2676580287,0.737075428276,0.549140238836,1017.12413175,0.262924571724,231451.122832,0.752463384517,0.90435465927,7243668.21154,99021.0073923,16607332.7906,0.877622456441,0.337510993843,0.464346120019,-0.0474117046271,0.292163153846,0.494671974979,worst_case_rcp45_2016-2045 (dry)
38,17.5686839129,25233007.8976,25.2330078976,0.881218073347,0.514665951163,0.604888971117,0.118781926653,119687.431828,0.494958311059,1.53395698033,1636542.94816,99021.0073923,5451217.81554,0.893849274356,0.5,0.666666666667,0.563797416677,0.350519507106,0.500903608711,worst_case_rcp45_2016-2045 (dry)
39,14.823924359,50594250.042,50.594250042,0.640944254469,0.58888693118,2.79563216211,0.359055745531,284417.76964,1.16100390618,0.669527704366,15987514.0463,99021.0073923,34268220.5298,0.837010965993,0.390907245789,0.540457343887,0.13528654855,0.305841265771,0.371139341791,worst_case_rcp45_2016-2045 (dry)
