,Avg. Annual Profit ($M),Avg. $/ML,Avg. GPWUI,Avg. IWUI,Income Volatility,Total SW Used (ML),Total GW Used (ML),Avg. Annual Profit ($),Avg. Irrigated Area (Ha),Avg. Dryland Area (Ha),Total Rainfall (mm),Avg. ML,Avg. ML/Ha,Ecology Index,Recreation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,SW Allocation Index,Dam Level
0,37.774227617053484,14.649208374111216,0.5368415569776399,1016.7794255450063,1.034083234773409,15813147.917944893,10442937.258881113,37774227.61705349,0.21824364429115578,0.7817563557088443,99021.00739229764,214882.07560649895,0.9979259215764961,0.2806019654088129,0.5027948177216962,0.34149414789256477,0.463669575806779,0.001446304902604112,70.37621765997875,182.07028981194185
1,37.9852492110817,14.301158511150753,0.5347385645402175,1016.7514291481095,1.0303049545417011,17062329.098468218,10407137.506027618,37985249.2110817,0.21892125827265746,0.7810787417273425,99021.00739229764,221341.329220894,1.0408118472359769,0.28320918114418286,0.4816375540779607,0.34149414789256477,0.463669575806779,0.0598818957448336,69.51789699225726,181.0575071857799
2,37.9852492110817,14.301158511150753,0.5347385645402175,1016.7514291481095,1.0303049545417011,17062329.098468218,10407137.506027618,37985249.2110817,0.21892125827265746,0.7810787417273425,99021.00739229764,221341.329220894,1.0408118472359769,0.28320918114418286,0.4816375540779607,0.34149414789256477,0.463669575806779,0.0598818957448336,69.51789699225726,181.0575071857799
3,37.981389267330975,14.387065282188738,0.5352353838252286,1016.7534295984464,1.0303525871286396,16831100.718817584,10389936.805275349,37981389.267330974,0.21892125827265746,0.7810787417273425,99021.00739229764,219997.3177431822,1.0313989258347669,0.2810988226814534,0.4826748314448781,0.3387456870306475,0.4618090792233273,0.011907764381078193,69.53786691494983,181.28658536938096
4,37.98138771332699,14.388174552904392,0.5352419804839076,1016.7534381168026,1.0303446799098965,16829151.218954477,10389936.805275349,37981387.71332699,0.21892125827265746,0.7810787417273425,99021.00739229764,219980.34782934573,1.0313250597279757,0.2809696286953218,0.4825597287279889,0.3382721060821325,0.46140315269602866,0.008930392056453518,69.55376018032916,181.29269865993504
5,37.89568138088446,14.355707136288215,0.5365770941375155,1016.6781118152408,1.0315564670372237,17058743.728546917,10841140.198684262,37895681.38088446,0.2173811375818452,0.7826188624181548,99021.00739229764,219980.34777571805,1.064609838872598,0.2809696286953218,0.48255972721884355,0.3382721060821325,0.46140315269602866,0.008930392056453518,69.55376020803494,181.2926986350479
6,37.89568138088446,14.355707136288215,0.5365770941375155,1016.6781118152408,1.0315564670372237,17058743.728546917,10841140.198684262,37895681.38088446,0.2173811375818452,0.7826188624181548,99021.00739229764,219980.34777571805,1.064609838872598,0.2809696286953218,0.48255972721884355,0.3382721060821325,0.46140315269602866,0.008930392056453518,69.55376020803494,181.2926986350479
7,37.73387739935803,14.299371495910366,0.5360574433185007,1016.6750594257428,1.0352560623783604,17053455.222894076,10912431.031317363,37733877.39935803,0.2170413272654389,0.782958672734561,99021.00739229764,219904.05551594787,1.0687991174012714,0.2778643996260014,0.48245357137608813,0.3367075975915026,0.4580204316352074,-0.0968414449714408,69.553584134724,181.25743926159774
8,40.24670805153064,13.1256168267275,0.5406290693389976,1016.9944941379398,0.9074343347368944,27658119.003670376,25252062.699884597,40246708.05153064,0.2513414078650239,0.748658592134976,99021.00739229764,255522.64567087396,1.7461644642085394,0.28865048631593027,0.450974161119901,0.3667969014275083,0.5066977877004263,0.056159382726531315,70.88341648009272,181.03321056655184
9,40.24670805153064,13.1256168267275,0.5406290693389976,1016.9944941379398,0.9074343347368944,27658119.003670376,25252062.699884597,40246708.05153064,0.2513414078650239,0.748658592134976,99021.00739229764,255522.64567087396,1.7461644642085394,0.28865048631593027,0.450974161119901,0.3667969014275083,0.5066977877004263,0.056159382726531315,70.88341648009272,181.03321056655184
10,40.53700699658264,13.218717717771021,0.5496422845240979,1017.0467388131315,0.9012938796664678,26440974.411701147,22923599.147672627,40537006.99658264,0.25390048851541536,0.7460995114845846,99021.00739229764,255553.07167505714,1.6127304626961287,0.28892790029064314,0.4506855979734822,0.3675749272714972,0.5081185305459711,0.06050924286081653,70.83953302904632,181.02653750688685
11,40.53700699658264,13.218717717771021,0.5496422845240979,1017.0467388131315,0.9012938796664678,26440974.411701147,22923599.147672627,40537006.99658264,0.25390048851541536,0.7460995114845846,99021.00739229764,255553.07167505714,1.6127304626961287,0.28892790029064314,0.4506855979734822,0.3675749272714972,0.5081185305459711,0.06050924286081653,70.83953302904632,181.02653750688685
12,39.94253067170952,13.814324454415,0.5570808193760968,1017.2234769451682,0.9183621568758193,26595775.646540783,18059621.194968775,39942530.67170952,0.25389746208728387,0.7461025379127162,99021.00739229764,240948.7509596368,1.458900017825984,0.2933982503346608,0.4482322072876518,0.38356674108653,0.5263852242744064,0.06778489696780544,70.91565740594982,180.97977307301804
13,39.94253067170952,13.814324454415,0.5570808193760968,1017.2234769451682,0.9183621568758193,26595775.646540783,18059621.194968775,39942530.67170952,0.25389746208728387,0.7461025379127162,99021.00739229764,240948.7509596368,1.458900017825984,0.2933982503346608,0.4482322072876518,0.38356674108653,0.5263852242744064,0.06778489696780544,70.91565740594982,180.97977307301804
14,40.29564878050526,13.817551518034598,0.5594041275430972,1017.3807267736104,0.9058664595030756,28518870.375023782,18823805.983895704,40295648.78050526,0.2577462357951913,0.7422537642048087,99021.00739229764,243022.12496374376,1.5235980579100687,0.29458934324539227,0.41526377721001645,0.383727420336919,0.5268588052229214,0.07311137216786436,71.16734391078616,180.36053943112492
