,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_norm_dist,gw_trigger_proposed_rules,gw_trigger_current_rules,Ecology Index,Recreation Index
0,37.1580653255,23553044.0437,23.5530440437,0.928408881233,0.527027986894,0.951290545429,0.0715911187669,52821.7401287,1.14920530526,1.53164177918,2685297.46725,99021.0073923,7233221.66344,69.3488361828,0.477464711343,0.666666666667,0.47219403288,0.364389860409,0.449575775006
1,16.4392585168,43348782.3632,43.3487823632,0.745980946952,0.568207497021,1.43517586232,0.254019053048,219742.181594,1.08425513542,0.922954042528,14512367.6409,99021.0073923,18691436.5686,70.6430916701,0.151717928316,0.581591231987,0.421402476152,0.309736613369,0.485081163477
2,16.4908637154,43169203.2385,43.1692032385,0.748245441297,0.565000757133,1.55755618009,0.251754558703,218147.070117,1.01727994504,0.928612220771,13319029.7505,99021.0073923,17556035.9185,70.8154656456,0.135355668141,0.574622826602,0.416319937758,0.306403337687,0.490381045055
3,16.2683376454,42855732.5044,42.8557325044,0.749598892395,0.567734270358,1.79900659402,0.250401107605,219525.259426,1.09666300363,0.931477938205,14566479.4818,99021.0073923,18538971.0076,70.6650898367,0.118655066226,0.555781070293,0.403389486503,0.303494072907,0.484642750463
4,16.361321141,43146302.2753,43.1463022753,0.746278365536,0.56799789938,1.43211632051,0.253721634464,219757.631955,1.08820391448,0.926515147488,14523324.429,99021.0073923,18762387.333,70.6895942303,0.151101117347,0.58118530546,0.421148772072,0.30911880805,0.4847578539
5,16.3834979446,43203748.8537,43.2037488537,0.747259715864,0.567224231107,1.42309353732,0.252740284136,219752.364034,1.10064736971,0.924601872255,14775069.4869,99021.0073923,18761044.205,70.6658935394,0.151756483582,0.581591231987,0.421402476152,0.309185961235,0.484664338112
6,16.4486665375,43375599.4028,43.3755994028,0.746278365536,0.567989851039,1.43219558795,0.253721634464,219752.359581,1.08811390681,0.921645272233,14523324.429,99021.0073923,18759634.2006,70.6658935391,0.151755168897,0.581591231987,0.421402476152,0.309185978699,0.48466433812
7,16.3018978761,43584346.4034,43.5843464034,0.746278365536,0.567222969468,1.38915551773,0.253721634464,222797.91559,1.11628876904,0.917462732657,15398157.0538,99021.0073923,18746607.282,70.7126708225,0.338873105096,0.579663080982,0.41977031324,0.309297562243,0.484944504532
8,16.4486665375,43375599.4028,43.3755994028,0.746278365536,0.567989851039,1.43219558795,0.253721634464,219752.359581,1.08811390681,0.921645272233,14523324.429,99021.0073923,18759634.2006,70.6658935391,0.151755168897,0.581591231987,0.421402476152,0.309185978699,0.48466433812
9,15.9931613265,42874346.254,42.874346254,0.768131130439,0.552356774286,859.469026651,0.231868869561,223399.37145,0.804893295658,0.924691254918,6753304.31361,99021.0073923,15746089.5579,70.4916564859,0.0103574672107,0.494621473513,0.360471213044,0.282842109717,0.494862212945
10,15.9931613265,42874346.254,42.874346254,0.768131130439,0.552356774286,859.469026651,0.231868869561,223399.37145,0.804893295658,0.924691254918,6753304.31361,99021.0073923,15746089.5579,70.4916564859,0.0103574672107,0.494621473513,0.360471213044,0.282842109717,0.494862212945
11,37.8369904506,23492518.1964,23.4925181964,0.929046302475,0.528135318256,0.957373006276,0.0709536975248,51740.6333429,1.11517528913,1.53524518969,2666326.60899,99021.0073923,6872791.66401,69.3413614753,0.339222202763,0.563020093363,0.399795345376,0.351970558308,0.447762934738
12,15.9931613265,42874346.254,42.874346254,0.768131130439,0.552356774286,859.469026651,0.231868869561,223399.37145,0.804893295658,0.924691254918,6753304.31361,99021.0073923,15746089.5579,70.4916564859,0.0103574672107,0.494621473513,0.360471213044,0.282842109717,0.494862212945
