,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index
0,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
1,15.9929645719,68301900.1166,68.3019001166,0.667763615878,0.549565044959,1.61392326021,0.332236384122,355895.555457,1.6882686158,0.384760884331,18812679.2865,129436.477156,48807886.859,1.0,0.364335971856,0.50277383127,0.116704661372,0.486197450435,0.729384483352
2,16.0770844319,68655733.9438,68.6557339438,0.665031623916,0.554278334075,1.65493523877,0.334968376084,355867.457573,1.61747463497,0.38120779218,18091893.4991,129436.477156,47225876.6994,1.0,0.364335971856,0.50277383127,0.119296863048,0.486391541323,0.730158101121
3,16.0451278206,68519266.2275,68.5192662275,0.666233687701,0.551999337538,1.62645974605,0.333766312299,355867.458093,1.6482731094,0.382350803443,18623492.8991,129436.477156,47699136.7838,1.0,0.364335971856,0.50277383127,0.119296863048,0.486391597173,0.730158111268
4,16.2935057132,69376291.5444,69.3762915444,0.66218193851,0.553704368084,1.63185439077,0.33781806149,354825.887717,1.61588696653,0.375238450028,18675509.2896,129436.477156,47133280.9593,1.0,0.364335971856,0.50277383127,0.119183902128,0.486239447287,0.730300048861
5,16.1441458395,68955982.9233,68.9559829233,0.660526205284,0.556394518541,1.68756727081,0.339473794716,355939.048581,1.59280660049,0.378005526419,17121370.5413,129436.477156,48065384.9412,1.0,0.370805425885,0.514173601245,0.13948701421,0.490194026095,0.730227957238
6,16.9865961933,68436243.7734,68.4362437734,0.666233687701,0.556787636788,1.66024032045,0.333766312299,335736.497739,1.5974190626,0.384102875564,18623492.8991,129436.477156,45652889.6574,1.0,0.364335971856,0.50277383127,0.113827984383,0.486209489236,0.730165350755
7,15.4699184596,68780237.4354,68.7802374354,0.666233687701,0.543210384524,1.4430891482,0.333766312299,370505.278869,1.77416703037,0.378302046812,23694316.1884,129436.477156,47693988.5047,1.0,0.400556457615,0.551890941073,0.145704715667,0.505889538715,0.731188044286
8,16.0451278206,68519266.2275,68.5192662275,0.666233687701,0.551999337538,1.62645974605,0.333766312299,355867.458093,1.6482731094,0.382350803443,18623492.8991,129436.477156,47699136.7838,1.0,0.364335971856,0.50277383127,0.119296863048,0.486391597173,0.730158111268
9,23.4460782625,67794334.5349,67.7943345349,0.743665154981,0.574900967348,1.33594069479,0.256334845019,240958.330629,0.886223075553,0.519811540057,6942263.59052,129436.477156,20444503.2318,0.989076410928,0.325324741222,0.45047696367,-0.206202052631,0.453688221038,0.727959925177
10,23.2324503424,67335200.9412,67.3352009412,0.756007783728,0.573662644617,1.1897671273,0.243992216272,241527.116701,0.915976777543,0.518136438642,7289299.45211,129436.477156,19653982.6942,0.989053161527,0.352496448143,0.482240714431,0.0421407061653,0.478322156928,0.727767821312
11,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
12,23.4362161383,67842695.8434,67.8426958434,0.743665154981,0.575293306691,1.31357835562,0.256334845019,241231.688323,0.883575712995,0.519110460867,7087782.68587,129436.477156,20217173.2436,0.99182519524,0.365359244977,0.504126919694,0.126426757438,0.484485734059,0.731093675449
13,22.5460566991,65151500.9353,65.1515009353,0.763310638643,0.563152699684,1.12377363542,0.236689361357,240808.928012,1.07067130998,0.524743193171,8672524.02968,129436.477156,21878443.3859,1.0,0.390374467221,0.549658345173,0.377145350485,0.501484235675,0.74543408134
14,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
15,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
16,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
17,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
18,23.3850041723,67815344.769,67.815344769,0.743665154981,0.574659174011,1.33221761197,0.256334845019,241662.50684,0.89091811718,0.519499153352,7087782.68587,129436.477156,20444074.0284,0.98889583249,0.367202827955,0.507306677491,0.121876707281,0.485091313881,0.727598347628
