,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_norm_dist,gw_trigger_proposed_rules,gw_trigger_current_rules,Ecology Index,Recreation Index
0,32.043861309,22151691.6532,22.1516916532,0.916558771249,0.505957564307,0.7315799731,0.083441228751,57607.7360539,0.574887766844,1.66610774342,1583142.10454,99021.0073923,4199866.28028,67.5674248995,0.396438058745,0.635376496854,0.463382044517,0.343078008053,0.494947864476
1,,19881128.8746,19.8811288746,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.78748313768,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
2,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
3,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
4,,19933925.3475,19.9339253475,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.78274885663,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
5,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
6,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
7,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
8,,19834388.4859,19.8343884859,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.79169540048,0.0,99021.0073923,0.0,64.3516661145,0.811082176983,0.666666666667,0.5,0.459917323762,0.638895896831
9,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
10,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
11,32.5959451627,22150406.3945,22.1504063945,0.916558771249,0.506650622944,0.881527643306,0.083441228751,56628.7368055,0.561697032358,1.66631969853,1574276.50332,99021.0073923,4076041.41123,67.5494924461,0.0921679341197,0.576787768081,0.412387524525,0.331924216767,0.494605619213
12,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
13,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
14,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
15,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
16,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
17,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
18,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
19,14.3993844269,48107344.7686,48.1073447686,0.65089237893,0.588699959667,2.11592616627,0.34910762107,278410.887474,1.13984982769,0.683576822518,14483222.5172,99021.0073923,33489794.4248,70.4904989506,0.165038224071,0.532947703132,0.383177728165,0.292332167303,0.411899132063
20,14.4218530261,48075701.6455,48.0757016455,0.65089237893,0.589267601197,2.11828653676,0.34910762107,277794.29337,1.12640669085,0.683870761931,14483222.5172,99021.0073923,32924011.27,70.7497923532,0.158798568524,0.528178066437,0.380750625803,0.291139555372,0.414850679111
